"date","count","mon_year"
2021-05-10,0,"05-21"
2021-05-11,0,"05-21"
2021-05-12,0,"05-21"
2021-05-13,0,"05-21"
2021-05-14,0,"05-21"
2021-05-15,0,"05-21"
2021-05-16,0,"05-21"
2021-05-17,0,"05-21"
2021-05-18,0,"05-21"
2021-05-19,0,"05-21"
2021-05-20,0,"05-21"
2021-05-21,0,"05-21"
2021-05-22,0,"05-21"
2021-05-23,6.5,"05-21"
2021-05-24,5,"05-21"
2021-05-25,4,"05-21"
2021-05-26,1.5,"05-21"
2021-05-27,1,"05-21"
2021-05-28,3,"05-21"
2021-05-29,17,"05-21"
2021-05-30,35,"05-21"
2021-05-31,19,"05-21"
2021-06-01,19,"06-21"
2021-06-02,0,"06-21"
2021-06-03,1,"06-21"
2021-06-04,6.5,"06-21"
2021-06-05,7,"06-21"
2021-06-06,6.5,"06-21"
2021-06-07,5,"06-21"
2021-06-08,0,"06-21"
2021-06-09,8,"06-21"
2021-06-10,1.5,"06-21"
2021-06-11,2,"06-21"
2021-06-12,10,"06-21"
2021-06-13,6.5,"06-21"
2021-06-14,8.5,"06-21"
2021-06-15,3,"06-21"
2021-06-16,33,"06-21"
2021-06-17,23,"06-21"
2021-06-18,5,"06-21"
2021-06-19,62,"06-21"
2021-06-20,10.5,"06-21"
2021-06-21,5.5,"06-21"
2021-06-22,430,"06-21"
2021-06-23,380,"06-21"
2021-06-24,589.5,"06-21"
2021-06-25,540,"06-21"
2021-06-26,975,"06-21"
2021-06-27,1099,"06-21"
2021-06-28,612.5,"06-21"
2021-06-29,548.5,"06-21"
2021-06-30,1273,"06-21"
2021-07-01,1383,"07-21"
2021-07-02,2097,"07-21"
2021-07-03,1195,"07-21"
2021-07-04,983.5,"07-21"
2021-07-05,983.5,"07-21"
2021-07-06,797,"07-21"
2021-07-07,614.5,"07-21"
2021-07-08,765.5,"07-21"
2021-07-09,822,"07-21"
2021-07-10,1218.5,"07-21"
2021-07-11,1273.5,"07-21"
2021-07-12,913.5,"07-21"
2021-07-13,608,"07-21"
2021-07-14,967,"07-21"
2021-07-15,631,"07-21"
2021-07-16,818.5,"07-21"
2021-07-17,1114,"07-21"
2021-07-18,936,"07-21"
2021-07-19,1259,"07-21"
2021-07-20,1052.5,"07-21"
2021-07-21,672.5,"07-21"
2021-07-22,1146,"07-21"
2021-07-23,1145,"07-21"
2021-07-24,1395.5,"07-21"
2021-07-25,1248,"07-21"
2021-07-26,993,"07-21"
2021-07-27,820,"07-21"
2021-07-28,872.5,"07-21"
2021-07-29,1024,"07-21"
2021-07-30,995.5,"07-21"
2021-07-31,1118,"07-21"
2021-08-01,1093.5,"08-21"
2021-08-02,1523.5,"08-21"
2021-08-03,1357,"08-21"
2021-08-04,1275,"08-21"
2021-08-05,967.5,"08-21"
2021-08-06,952,"08-21"
2021-08-07,882,"08-21"
2021-08-08,1167.5,"08-21"
2021-08-09,1164,"08-21"
2021-08-10,1128,"08-21"
2021-08-11,1195,"08-21"
2021-08-12,1204,"08-21"
2021-08-13,1260.5,"08-21"
2021-08-14,1123.5,"08-21"
2021-08-15,1147.5,"08-21"
2021-08-16,758.5,"08-21"
2021-08-17,1132,"08-21"
2021-08-18,1197,"08-21"
2021-08-19,1241.5,"08-21"
2021-08-20,720,"08-21"
2021-08-21,1141,"08-21"
2021-08-22,784.5,"08-21"
2021-08-23,1055.5,"08-21"
2021-08-24,858.5,"08-21"
2021-08-25,1061.5,"08-21"
2021-08-26,794.5,"08-21"
2021-08-27,880,"08-21"
2021-08-28,1462.5,"08-21"
2021-08-29,1228,"08-21"
2021-08-30,809,"08-21"
2021-08-31,1043.5,"08-21"
2021-09-01,803,"09-21"
2021-09-02,1375.5,"09-21"
2021-09-03,1158,"09-21"
2021-09-04,1013.5,"09-21"
2021-09-05,1101.5,"09-21"
2021-09-06,1227.5,"09-21"
2021-09-07,1280.5,"09-21"
2021-09-08,704.5,"09-21"
2021-09-09,658,"09-21"
2021-09-10,931.5,"09-21"
2021-09-11,1061,"09-21"
2021-09-12,999,"09-21"
2021-09-13,1577,"09-21"
2021-09-14,409,"09-21"
2021-09-15,758.5,"09-21"
2021-09-16,1056.5,"09-21"
2021-09-17,229,"09-21"
2021-09-18,762.5,"09-21"
2021-09-19,556,"09-21"
2021-09-20,617.5,"09-21"
2021-09-21,1054.5,"09-21"
2021-09-22,440,"09-21"
2021-09-23,1028.5,"09-21"
2021-09-24,899.5,"09-21"
2021-09-25,1329,"09-21"
2021-09-26,505.5,"09-21"
2021-09-27,350.5,"09-21"
2021-09-28,394,"09-21"
2021-09-29,392,"09-21"
